,Nombre,Tipo,Id,Area,Campo,Disciplina
39,Retroalimentación implícita de relevancia de textos durante la búsqueda de información mediante eyetracking,ResearchProject,9920cb26bf1e403da2bd7b168272096a,7.0,30.0,245.0
40,"CUERPO ACADÉMICO ""MODELADO DE SISTEMAS Y TECNOLOGÍAS DE LA INFORMÁTICA""",ResearchGroup,9920cb26bf1e403da2bd7b168272096a,7.0,30.0,245.0
41,LABORATORIO EN TECNOLOGÍAS EMERGENTES EN CIENCIAS DE LA COMPUTACIÓN (LABTEC2),ResearchGroup,9920cb26bf1e403da2bd7b168272096a,7.0,32.0,277.0
42,Sistemas Eléctricos Computacionales,ResearchGroup,9920cb26bf1e403da2bd7b168272096a,7.0,30.0,248.0
43,Strategies for learning in class imbalance problems,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
44,On the k-NN performance in a challenging scenario of imbalance and overlapping,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
45,Redes Neuronales Artificiales y Distribuciones no Balanceadas,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
46,Two-level classifier ensembles for credit risk assessment,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
47,On the use of data filtering techniques for credit risk prediction with instance-based models,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
48,Exploring the behaviour of base classifiers in credit scoring ensembles,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
49,On the effectiveness of preprocessing methods when dealing with different levels of class imbalance,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
50,Surrounding neighborhood-based SMOTE for learning from imbalanced data sets,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
51,A hybrid method to face class overlap and class imbalance on neural networks and multi-class scenarios,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
52,On the suitability of resampling techniques for the class imbalance problem in credit scoring,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
53,A literature review on the application of evolutionary computing to credit scoring,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
54,Gait-based Gender Classification Considering Resampling and Feature Selection,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
55,A bias correction function for classification performance assessment in two-class imbalanced problems,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
56,An insight into the experimental design for credit risk and corporate bankruptcy prediction systems,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
57,An Efficient Over-sampling Approach Based on Mean Square Error Back-propagation for Dealing with the Multi-class Imbalance Problem,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
58,Diagnóstico para Síndrome de Asperger utilizando una aplicación inteligente a partir del razonamiento basado en casos (Indizada en,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,7.0,30.0,259.0
59,Analysis of discrepancy metrics used in medical image segmentation,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
60,Mapping microarray gene expression data into dissimilarity spaces for tumor classification,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
61,Associative learning on imbalanced environments: An empirical study,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
62,An Improved SOM For PD Pattern Recognition Using Density Evaluated Rival Penalized Competitive Learning Algorithm,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
63,Financial distress prediction using the hybrid associative memory with translation,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
64,"Sistema Web de Denuncia Ciudadana para un Gobierno Abierto en Servicios Públicos en Ciudad Juárez, Chihuahua",ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,7.0,32.0,277.0
65,Process capability index for AC transformer under electrical harmonics,ScientificPaper,c6ad3e39b3e74ebfbba90059e2b15fc9,7.0,30.0,268.0
66,Process capability index for AC transformer under electrical harmonics,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,7.0,30.0,268.0
67,A regression model based on the nearest centroid neighborhood,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
68,My Personal Images as My Graphical Password,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,7.0,32.0,277.0
69,Application of IoT with haptics interface in the smart manufacturing industry,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
70,Synergetic Application of Multi-Criteria Decision-Making Models to Credit Granting Decision Problems,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
71,Empirical Study of the Associative Approach in the Context of Classification Problems,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
72,An enhanced lightweight IoT-based authentication scheme in cloud computing circumstances,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,7.0,32.0,277.0
73,Gene selection and disease prediction from gene expression data using a two-stage hetero-associative memory,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
74,Using regression models for predicting the product quality in a tubing extrusion process,ScientificPaper,c6ad3e39b3e74ebfbba90059e2b15fc9,7.0,32.0,972.0
75,Using regression models for predicting the product quality in a tubing extrusion process,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,7.0,32.0,972.0
76,Dissimilarity-Based Linear Models for Corporate Bankruptcy Prediction,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
77,Exploring the synergetic effects of sample types on the performance of ensembles for credit risk and corporate bankruptcy prediction,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
78,Implementing a Novel Use of Multicriteria Decision Analysis to Select IIoT Platforms for Smart Manufacturing,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,7.0,30.0,259.0
79,Forecasting the demand of parts in an assembly plant warehouse using time-series models,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
80,Ranking-based MCDM models in financial management applications: analysis and emerging challenges,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
81,Understanding the apparent superiority of over-sampling through an analysis of local information for class-imbalanced data,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
82,Reliability analysis for DC motors under voltage step-stress scenario,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,7.0,32.0,
83,News Classification for Identifying Traffic Incident Points in a Spanish-Speaking Country: A Real-World Case Study of Class Imbalance,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
84,Editorial for Volume 11 Number 1: Signal Processing and Production Processes in Advanced Engineering,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,7.0,32.0,277.0
85,Outranking-based multi-objective PSO for scheduling unrelated parallel machines with a freight industry-oriented application,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
86,"Pre-existing comorbidity, the highest risk factor for poor prognosis of COVID-19 among the Mexican population",ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,7.0,30.0,245.0
87,Risk Score Based on Critical Factors Associated with COVID-19,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,7.0,30.0,245.0
88,Auto-adaptive multilayer perceptron for univariate time series classification,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,7.0,30.0,259.0
89,Revisiting the Dissimilarity Representation in the Context of Regression,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
90,De Big Data al Smart Data en datos no balanceados con alta dimensionalidad y baja densidad: un análisis experimental de técnicas de,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
91,Deep transfer learning for the recognition of types of face masks as a core measure to prevent the transmission of COVID-19,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
92,Fuzzy-Based Time Series Forecasting and Modelling: A Bibliometric Analysis,ScientificPaper,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
93,RED VALENCIANA DE RECONOCIMIENTO DE FORMAS Y SUS APLICACIONES,ResearchProject,9dc38f12a515405eacab3ae5b4f9cc39,,,
94,"TRATAMIENTO, INDEXACIÓN Y RECUPERACIÓN DE INFORMACIÓN A PARTIR DE GRANDES VOLÚMENES DE DATOS MEDIANTE",ResearchProject,9dc38f12a515405eacab3ae5b4f9cc39,,,
95,RED VALENCIANA DE RECONOCIMIENTOS DE FORMAS Y APRENDIZAJE AUTOMÁTICO,ResearchProject,9dc38f12a515405eacab3ae5b4f9cc39,,,
96,"RECONOCIMIENTO AUTOMATICO DE GENERO, EDAD Y GRUPO RACIAL A TRAVES DE TECNICAS DE VISION POR COMPUTADOR Y",ResearchProject,9dc38f12a515405eacab3ae5b4f9cc39,,,
97,DISEÑO E INTEGRACIÓN DE TÉCNICAS DE RECONOCIMIENTOS DE FORMAS PARA CONTROL DE CALIDAD MEDIANTE VISION ARTIFICIAL,ResearchProject,9dc38f12a515405eacab3ae5b4f9cc39,,,
98,ANALISIS Y RECONOCIMIENTO DE LA FORMA DE ANDAR: INTEGRACION DE UN SISTEMA MULTIMODAL DE CARACTERIZACION,ResearchProject,9dc38f12a515405eacab3ae5b4f9cc39,,,
99,MULTIMODAL INTERACTION IN PATTERN RECOGNITION AND COMPUTER VISION (CONSOLIDER INGENIO 2010),ResearchProject,9dc38f12a515405eacab3ae5b4f9cc39,,,
100,"TECNICAS INTERACTIVAS Y ADAPTATIVAS PARA SISTEMAS AUTOMATICOS DE RECONOCIMIENTO, APRENDIZAJE Y PERCEPCION",ResearchProject,9dc38f12a515405eacab3ae5b4f9cc39,,,
101,APRENDIZAJE AUTOMÁTICO PARA EL ANÁLISIS Y EXPLOTACIÓN DE DATOS MASIVOS,ResearchProject,9dc38f12a515405eacab3ae5b4f9cc39,,,
102,Técnicas de Preprocesamiento para la Clasificación de Grandes Volúmenes de Datos no Balanceados,ResearchProject,9dc38f12a515405eacab3ae5b4f9cc39,,,
103,PAL: PATTERN ANALYSIS AND LEARNING,ResearchGroup,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
104,ENGINYERIA VISUAL,ResearchGroup,9dc38f12a515405eacab3ae5b4f9cc39,7.0,32.0,277.0
105,Laboratorio de Seguridad y Servicios Electónicos,ResearchGroup,9dc38f12a515405eacab3ae5b4f9cc39,7.0,32.0,277.0
106,"Laboratorio de Software Libre, Tecnológico de Toluca",ResearchGroup,9dc38f12a515405eacab3ae5b4f9cc39,1.0,6.0,43.0
107,A New and Efficient Alignment Technique by Cosine Distance,ScientificPaper,0ef4987a4e7047f09fc30afb0f4208b6,7.0,32.0,279.0
108,A fuzzy fractional-order control of robotic manipulators with PID error manifolds,ScientificPaper,0ef4987a4e7047f09fc30afb0f4208b6,7.0,32.0,279.0
109,PSO with Dynamic Adaptation of Parameters for Optimization in Neural Networks with Interval Type-2 Fuzzy Numbers Weights,ScientificPaper,0ef4987a4e7047f09fc30afb0f4208b6,7.0,32.0,279.0
110,Analysis of CNN Architectures for Human Action Recognition in Video,ScientificPaper,0ef4987a4e7047f09fc30afb0f4208b6,7.0,32.0,279.0
111,A Comparative Study in Machine Learning and Audio Features for Kitchen Sounds Recognition,ScientificPaper,0ef4987a4e7047f09fc30afb0f4208b6,7.0,32.0,279.0
112,EVALUACIÓN FUNCIONAL ARTERIAL EN PACIENTES CON INSUFICIENCIA RENAL CRÓNICA UTILIZANDO TÉCNICAS NO INVASIVAS,ResearchProject,0ef4987a4e7047f09fc30afb0f4208b6,7.0,32.0,279.0
113,DISEÑO DE UN SISTEMA EMBEBIDO DE MONITOREO DE ACTIVIDAD Y DE MÉTRICAS DE ESTADO VASCULAR PARA VIDA ASISTIDA,ResearchProject,0ef4987a4e7047f09fc30afb0f4208b6,7.0,32.0,279.0
114,UACH-CA-126 Computacion e Informatica aplicada,ResearchGroup,0ef4987a4e7047f09fc30afb0f4208b6,7.0,32.0,277.0
115,Social Weights and the Regional Allocation of Inter-Governmental Transfers,ScientificPaper,3e13b789b6994b4594db76cc53fdd433,7.0,30.0,259.0
116,An Analysis of the Supply of Open Government Data,ScientificPaper,3e13b789b6994b4594db76cc53fdd433,7.0,30.0,259.0
117,Regional Heterogeneity of Preferences and Intergovernmental Transfers,ScientificPaper,3e13b789b6994b4594db76cc53fdd433,7.0,30.0,259.0
118,An Analysis of Optimal Tax Revenue Sharing for Mexico,ScientificPaper,3e13b789b6994b4594db76cc53fdd433,7.0,30.0,259.0
119,Modelo tecnológico para la interoperabilidad de sistemas de expediente clínico electrónico y para la generación automática de,ResearchProject,3e13b789b6994b4594db76cc53fdd433,7.0,30.0,259.0
120,Design and Manufacturing of a Propeller for Axial-Flow Fan,ScientificPaper,9fd19060fa8c4092b5ed13c444c50086,7.0,32.0,283.0
121,Selection and Design of an Axial Flow Fan,ScientificPaper,9fd19060fa8c4092b5ed13c444c50086,7.0,32.0,283.0
